High School,TEA ID,2024 College Enrollment Level,2024 College Enrollment %
Uplift Wisdom Preparatory,57803019,2YR,0.139240506
Creekview High School,57903006,4YR,0.351145038
Early College High School at Brookhaven,57903010,4YR,0.594936709
Newman Smith High School,57903002,4YR,0.259574468
R. L. Turner High School,57903001,4YR,0.219827586
Ranchview High School,57903007,4YR,0.331818182
Cedar Hill Collegiate High School,57904003,4YR,0.752808989
Cedar Hill High School,57904001,4YR,0.446985447
BARACK OBAMA MALE LEADERSHIP ACADEMY AT A MACEO SMITH,57905381,4YR,0.666666667
BOOKER T. WASHINGTON HIGH SCHOOL FOR THE ARTS,57905034,4YR,0.707112971
BRYAN ADAMS HIGH SCHOOL LEADERSHIP ACADEMY,57905001,4YR,0.305220884
CITYLAB HIGH SCHOOL,57905383,4YR,0.375
DAVID W. CARTER HIGH SCHOOL,57905023,4YR,0.254310345
DR FREDERICK D. HAYNES III GLOBAL PREPARATORY ACADEMY AT PAUL QUINN*,57905388,4YR,n/a
DR L.G. PINKSTON SR HIGH SCHOOL,57905012,4YR,0.26984127
EMMETT J. CONRAD HIGH SCHOOL,57905028,4YR,0.241877256
FRANKLIN D. ROOSEVELT HIGH SCHOOL OF INNOVATION,57905013,4YR,0.165562914
H. GRADY SPRUCE HIGH SCHOOL,57905017,4YR,0.170491803
HILLCREST HIGH SCHOOL,57905006,4YR,0.41260745
"INNOVATION, DESIGN, ENTREPRENEURSHIP ACADEMY AT J.W. FANNIN",57905382,4YR,0.279069767
IRMA RANGEL YOUNG WOMEN'S LEADERSHIP SCHOOL,57905035,4YR,n/a
JAMES MADISON HIGH SCHOOL,57905032,4YR,0.283950617
JUDGE BAREFOOT SANDERS LAW MAGNET,57905038,4YR,0.675675676
JUSTIN F. KIMBALL HIGH SCHOOL,57905008,4YR,0.20083682
KATHLYN J. GILLIAM COLLEGIATE ACADEMY,57905085,4YR,0.743243243
LINCOLN HIGH SCHOOL,57905009,4YR,0.230263158
MARVIN E. ROBINSON SCHOOL OF BUSINESS AND MANAGEMENT AT TOWNVIEW,57905033,4YR,0.495412844
MOISES E. MOLINA HIGH SCHOOL,57905005,4YR,0.221238938
NEW TECH HIGH SCHOOL AT B.F. DARRELL,57905003,4YR,0.266666667
NORTH DALLAS HIGH SCHOOL,57905024,4YR,0.329166667
NORTH LAKE EARLY COLLEGE HIGH SCHOOL,57905387,4YR,0.76
ROSIE M. COLLINS SORRELLS SCHOOL OF EDUCATION & SOCIAL SERVICES,57905037,4YR,0.657894737
SCHOOL FOR THE TALENTED & GIFTED AT TOWNVIEW,57905039,4YR,0.848739496
SCHOOL OF HEALTH PROFESSIONS AT TOWNVIEW,57905036,4YR,0.512820513
SCHOOL OF SCIENCE & ENGINEERING AT TOWNVIEW,57905026,4YR,0.87037037
SEAGOVILLE HIGH SCHOOL,57905015,4YR,0.169230769
SKYLINE HIGH SCHOOL,57905025,4YR,0.248322148
SOUTH OAK CLIFF HIGH SCHOOL,57905016,4YR,0.265780731
SUNSET HIGH SCHOOL,57905018,4YR,0.260869565
THOMAS JEFFERSON HIGH SCHOOL,57905007,4YR,0.188461538
TRINIDAD GARZA EARLY COLLEGE HIGH SCHOOL,57905088,4YR,0.78
W.H. ADAMSON HIGH SCHOOL,57905002,4YR,0.227405248
"W.L. LASSITER, JR. EARLY COLLEGE HIGH SCHOOL AT EL CENTRO COLLEGE",57905090,4YR,0.6
W.T. WHITE HIGH SCHOOL,57905021,4YR,0.361650485
W.W. SAMUELL HIGH SCHOOL,57905014,4YR,0.141463415
WILMER-HUTCHINS HIGH SCHOOL,57905380,4YR,0.226130653
WOODROW WILSON HIGH SCHOOL,57905022,4YR,0.463350785
DeSoto High School,57906001,4YR,0.438478747
Duncanville High School,57907001,4YR,0.286699507
Mary E. Smithey Pace High School,57907004,4YR,0.078431373
Garland High School,57909002,4YR,0.244047619
Lakeview Centennial High School,57909005,4YR,0.385685885
Naaman Forest High School,57909008,4YR,0.226804124
North Garland High School,57909004,4YR,0.3424
Rowlett High School,57909009,4YR,0.296435272
Sachse High School,57909010,4YR,0.361502347
South Garland High School,57909003,4YR,0.099391481
Crosswinds High School,57910009,4YR,0.020044543
Dubiski Career High School,57910010,4YR,0.421364985
Grand Prairie Fine Arts Academy,57910001,4YR,n/a
Grand Prairie High School,57910002,4YR,0.211320755
South Grand Prairie High School,57910003,4YR,0.352941176
Irving High School,57912002,4YR,0.152960526
Jack E. Singley Academy,57912006,4YR,0.325714286
MacArthur High School,57912003,4YR,0.236928105
Nimitz High School,57912004,4YR,0.199637024
KIPP Oak Cliff Academy,227820030,4YR,n/a
KIPP Pleasant Grove Leadership Academy,227820073,4YR,n/a
Lancaster High School,57913001,4YR,0.341650672
Horn High School,57914005,4YR,0.317829457
Mesquite High School,57914001,4YR,0.244444444
North Mesquite High School,57914002,4YR,0.226244344
Poteet High School,57914004,4YR,0.268156425
Vanguard High School,57914006,4YR,0.238993711
West Mesquite High School,57914003,4YR,0.17965368
Berkner High School,57916005,4YR,0.319502075
J.J. Pearce High School,57916004,4YR,0.504983389
Lake Highlands High School,57916002,4YR,0.447933884
Richardson High School,57916003,4YR,0.406940063
Uplift Atlas Preparatory,57803010,4YR,0.371428571
Uplift Grand Preparatory,57803016,4YR,0.301587302
Uplift Hampton Preparatory,57803007,4YR,0.5125
Uplift Heights Preparatory,57803006,4YR,0.324074074
Uplift Infinity Preparatory,57803013,4YR,0.448717949
Uplift Luna Preparatory,57803005,4YR,0.483870968
Uplift North Hills Preparatory,57803002,4YR,0.658333333
Uplift Williams Preparatory,57803004,4YR,0.536423841
Uplift Wisdom Preparatory,57803019,4YR,0.379746835
Creekview High School,57903006,AA Not Enrolled,0
Early College High School at Brookhaven,57903010,AA Not Enrolled,0.063291139
Newman Smith High School,57903002,AA Not Enrolled,0
R. L. Turner High School,57903001,AA Not Enrolled,0
Ranchview High School,57903007,AA Not Enrolled,0
Cedar Hill Collegiate High School,57904003,AA Not Enrolled,0.08988764
Cedar Hill High School,57904001,AA Not Enrolled,0.004158004
BARACK OBAMA MALE LEADERSHIP ACADEMY AT A MACEO SMITH,57905381,AA Not Enrolled,0
BOOKER T. WASHINGTON HIGH SCHOOL FOR THE ARTS,57905034,AA Not Enrolled,0
BRYAN ADAMS HIGH SCHOOL LEADERSHIP ACADEMY,57905001,AA Not Enrolled,0.012048193
CITYLAB HIGH SCHOOL,57905383,AA Not Enrolled,0
DAVID W. CARTER HIGH SCHOOL,57905023,AA Not Enrolled,0.00862069
DR FREDERICK D. HAYNES III GLOBAL PREPARATORY ACADEMY AT PAUL QUINN*,57905388,AA Not Enrolled,n/a
DR L.G. PINKSTON SR HIGH SCHOOL,57905012,AA Not Enrolled,0.011904762
EMMETT J. CONRAD HIGH SCHOOL,57905028,AA Not Enrolled,0.108303249
FRANKLIN D. ROOSEVELT HIGH SCHOOL OF INNOVATION,57905013,AA Not Enrolled,0
H. GRADY SPRUCE HIGH SCHOOL,57905017,AA Not Enrolled,0.032786885
HILLCREST HIGH SCHOOL,57905006,AA Not Enrolled,0.031518625
"INNOVATION, DESIGN, ENTREPRENEURSHIP ACADEMY AT J.W. FANNIN",57905382,AA Not Enrolled,0
IRMA RANGEL YOUNG WOMEN'S LEADERSHIP SCHOOL,57905035,AA Not Enrolled,n/a
JAMES MADISON HIGH SCHOOL,57905032,AA Not Enrolled,0.012345679
JUDGE BAREFOOT SANDERS LAW MAGNET,57905038,AA Not Enrolled,0
